id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,phone,display_phone,distance,business_hours,source,latitude,longitude,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,attributes.business_temp_closed,attributes.menu_url,attributes.open24_hours,attributes.waitlist_reservation,price
_FURM5RbtYkWwv9M0DtZ4w,tiflisi-toronto,Tiflisi,https://s3-media4.fl.yelpcdn.com/bphoto/vqsqoPbahG9jtKQZ2rgPuQ/o.jpg,False,https://www.yelp.com/biz/tiflisi-toronto?adjust_creative=FVryWZWjLjhEL75ijD2owg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FVryWZWjLjhEL75ijD2owg,39,"[{'alias': 'modern_european', 'title': 'Modern European'}]",4.4,[],+14166867389,+1 416-686-7389,1550.8282026253994,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",Yelp,43.665269,-79.319796,43.66993,-79.30159,1970 Queen Street E,,,Toronto,M4L 1H8,CA,ON,"['1970 Queen Street E', 'Toronto, ON M4L 1H8', 'Canada']",,https://tiflisitoronto.ca/regular-menu/,,,
iAEuxSiOjgandA3_xV-IQA,tulia-osteria-toronto,Tulia Osteria,https://s3-media1.fl.yelpcdn.com/bphoto/QgFkjUK-39b2W3azuBpDfg/o.jpg,False,https://www.yelp.com/biz/tulia-osteria-toronto?adjust_creative=FVryWZWjLjhEL75ijD2owg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FVryWZWjLjhEL75ijD2owg,2,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,[],+14164616400,+1 416-461-6400,365.1153942401661,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",Yelp,43.665269,-79.319796,43.66487,-79.32425,1402 Queen Street E,,,Toronto,M4L 1C9,CA,ON,"['1402 Queen Street E', 'Toronto, ON M4L 1C9', 'Canada']",,https://tuliaosteria.com/menus/,,,
yP71_LfUPnGIRqA2g09RoQ,lake-inez-toronto,Lake Inez,https://s3-media3.fl.yelpcdn.com/bphoto/vg38w5SFLek-KtR1I49DvQ/o.jpg,False,https://www.yelp.com/biz/lake-inez-toronto?adjust_creative=FVryWZWjLjhEL75ijD2owg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FVryWZWjLjhEL75ijD2owg,104,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.4,[],,,789.8203910914091,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1800', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",Yelp,43.665269,-79.319796,43.67234,-79.32064,1471 Gerrard Street E,,,Toronto,M4L 2A1,CA,ON,"['1471 Gerrard Street E', 'Toronto, ON M4L 2A1', 'Canada']",,,,,$$$
Ohengzi4viLEXqhK50aLxg,jaclyns-toronto,Jaclyn's,https://s3-media3.fl.yelpcdn.com/bphoto/XCWKUbJT1bEjNcAycavaHA/o.jpg,False,https://www.yelp.com/biz/jaclyns-toronto?adjust_creative=FVryWZWjLjhEL75ijD2owg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FVryWZWjLjhEL75ijD2owg,17,"[{'alias': 'caribbean', 'title': 'Caribbean'}]",4.4,[],+16479018809,+1 647-901-8809,173.39044438015483,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",Yelp,43.665269,-79.319796,43.66627,-79.31802,1588 Queen Street E,,,Toronto,M4L 1G1,CA,ON,"['1588 Queen Street E', 'Toronto, ON M4L 1G1', 'Canada']",,,,,
tuTAKHUm7ErDRZ2Yll8LzQ,completo-toronto,Completo,https://s3-media4.fl.yelpcdn.com/bphoto/ATtgVawbk2U1GmDcwUExag/o.jpg,False,https://www.yelp.com/biz/completo-toronto?adjust_creative=FVryWZWjLjhEL75ijD2owg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FVryWZWjLjhEL75ijD2owg,177,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.4,[],+14169019233,+1 416-901-9233,1184.0329034478234,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",Yelp,43.665269,-79.319796,43.6626328,-79.3340575,5 Coady Avenue,,,Toronto,M4M 2Y9,CA,ON,"['5 Coady Avenue', 'Toronto, ON M4M 2Y9', 'Canada']",,http://www.completo.club,,,$
4EDaWK4cYdbxsWdf_ypQfA,tinga-kim-taqueria-toronto,Tinga Kim Taqueria,https://s3-media2.fl.yelpcdn.com/bphoto/2SuyzgmwPX4it142TglnKw/o.jpg,False,https://www.yelp.com/biz/tinga-kim-taqueria-toronto?adjust_creative=FVryWZWjLjhEL75ijD2owg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FVryWZWjLjhEL75ijD2owg,7,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.3,[],+14378805587,+1 437-880-5587,1006.4972842992935,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",Yelp,43.665269,-79.319796,43.663023,-79.331889,1182 Queen Street E,,,Toronto,M4M 1L6,CA,ON,"['1182 Queen Street E', 'Toronto, ON M4M 1L6', 'Canada']",,,,,
Y8mGRSujCE2-vE2kCPhhfA,limon-toronto,Limon,https://s3-media4.fl.yelpcdn.com/bphoto/nOKL72PrK224CqoeYIXpIg/o.jpg,False,https://www.yelp.com/biz/limon-toronto?adjust_creative=FVryWZWjLjhEL75ijD2owg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FVryWZWjLjhEL75ijD2owg,50,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.5,[],+14169013440,+1 416-901-3440,1547.3813138488574,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",Yelp,43.665269,-79.319796,43.6698837,-79.3017345,1968 Queen Street E,,,Toronto,M4L 1H8,CA,ON,"['1968 Queen Street E', 'Toronto, ON M4L 1H8', 'Canada']",,,,,
cIX8h9_IrzU_-4TGXGM0fQ,eastside-social-toronto,Eastside Social,https://s3-media1.fl.yelpcdn.com/bphoto/T-fIKc1xkIp6kxm_R4-iIg/o.jpg,False,https://www.yelp.com/biz/eastside-social-toronto?adjust_creative=FVryWZWjLjhEL75ijD2owg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FVryWZWjLjhEL75ijD2owg,89,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.2,[],+14164615663,+1 416-461-5663,1611.3572097466408,"[{'open': [{'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",Yelp,43.665269,-79.319796,43.661432,-79.339113,1008 Queen Street E,,,Toronto,M4M 1K1,CA,ON,"['1008 Queen Street E', 'Toronto, ON M4M 1K1', 'Canada']",,,,,$$
GPK5oG-H6JUPo2a5hBxRBQ,bodega-henriette-toronto-2,Bodega Henriette,https://s3-media2.fl.yelpcdn.com/bphoto/nJdRm3p3K5_mzOeg_1BXZw/o.jpg,False,https://www.yelp.com/biz/bodega-henriette-toronto-2?adjust_creative=FVryWZWjLjhEL75ijD2owg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FVryWZWjLjhEL75ijD2owg,77,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",4.2,[],+14165466261,+1 416-546-6261,1477.3439328848117,"[{'open': [{'is_overnight': False, 'start': '0830', 'end': '1630', 'day': 0}, {'is_overnight': False, 'start': '0830', 'end': '1630', 'day': 1}, {'is_overnight': False, 'start': '0830', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0830', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0830', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1600', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",Yelp,43.665269,-79.319796,43.6780199,-79.31471,1801 Gerrard Street E,,,Toronto,M4L 2B4,CA,ON,"['1801 Gerrard Street E', 'Toronto, ON M4L 2B4', 'Canada']",,,,,$$
9LimxWLM3URfrCcQsUJ3yg,breakwall-bbq-toronto,Breakwall BBQ,https://s3-media3.fl.yelpcdn.com/bphoto/Ye53AIa_9JTfpmf0RUKxUQ/o.jpg,False,https://www.yelp.com/biz/breakwall-bbq-toronto?adjust_creative=FVryWZWjLjhEL75ijD2owg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FVryWZWjLjhEL75ijD2owg,69,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American'}]",4.1,[],+14166994000,+1 416-699-4000,1310.4986179719792,"[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",Yelp,43.665269,-79.319796,43.6693242,-79.304498,1910 Queen Street E,,,Toronto,M4L 1H5,CA,ON,"['1910 Queen Street E', 'Toronto, ON M4L 1H5', 'Canada']",,,,,$$
